Sector,Project Name,Type,URL,Date,File Size
Informatizacia,​​Rozširovanie riadenia IT aktív – ITAM 2.0​,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/rozsirovanie-riadenia-it-aktiv-itam-2-0_hodnotenie-uhp-2024.pdf,18.10.2024,192 kB
Informatizacia,Centrálny ekonomický systém – dodatok č. 3 (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_ces.pdf,27.9.2024,198 kB
Informatizacia,Zvýšenie kybernetickej bezpečnosti samospráv do 6 000 obyvateľov,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_dcom.pdf,13.9.2024,274 kB
Informatizacia,Vybudovanie IT platformy lepšej regulácie podľa stratégie RIA 2020,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/vybudovanie_it_platformy_lepsej_regulacie_podla_strategie_ria_2020_hodnotenie_uhp_2024.pdf,13.9.2024,217 kB
Informatizacia,Obnova desktopových licencií pre kapitolu Ministerstva vnútra Slovenskej republiky,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_mv_msft.pdf,11.9.2024,163 kB
Informatizacia,Obnova desktopových licencií pre kapitolu Ministerstva financií Slovenskej republiky,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_mf_licencie.pdf,5.9.2024,160 kB
Informatizacia,Modernizácia infraštruktúry pre kľúčové interné systémy MV SR – Etapa 2,hodnotenie,https://www.mfsr.sk/files/archiv/19/Hodnotenie_UHP_DC_MV_20240823.pdf,2.9.2024,210 kB
Informatizacia,eSKa Cloud (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_eska-cloud_mirri.pdf,19.8.2024,172 kB
Informatizacia,Zabezpečenie výpočtovej technicky na lokalitách v rámci celej SR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/ikt_ramcova_zmluva_hodnotenie_uhp_20240816.pdf,16.8.2024,178 kB
Informatizacia,"Pokračovanie obstarávania licencií pre operačný systém, kancelársky balík a prístup používateľov na server na ďalšie obdobie",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/dns_microsoft_hodnotenie_uhp.pdf,17.7.2024,200 kB
Informatizacia,"Pokračovanie obstarávania licencií pre operačný systém, kancelársky balík a prístup používateľov na server na ďalšie obdobie",štúdia uskutočniteľnosti,https://mirri.gov.sk/wp-content/uploads/2021/06/PZ_MS_DNS_Pokracovanie_2024-2027.pdf,,
Informatizacia,Národný integrovaný cestovný lístok,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/narodny_cestovny_listok_hodnotenie_uhp_final.pdf,11.7.2024,228 kB
Informatizacia,Komplexné riešenie výrobných liniek dokladov občanov a cudzincov,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/nova_lokalita_npc_hodnotenie_uhp.pdf,21.6.2024,191 kB
Informatizacia,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum (aktualizácia),analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_superpocitac_sav.pdf,21.3.2024,166 kB
Informatizacia,"Posilnenie prevencie, zvýšenie rýchlosti detekcie a riešenia incidentov (akt.)",analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_ewsaktualizacia.pdf,9.2.2024,431 kB
Informatizacia,Prevádzka služby eKolok na obdobie 10 rokov,analýza,https://www.mfsr.sk/files/archiv/88/eKolok_MF_SR_hodnotenie_UHP.pdf,26.1.2024,
Informatizacia,"Posilnenie preventívnych opatrení, zvýšenie rýchlosti detekcie a riešenia incidentov",analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_uhp_ews.pdf,8.12.2023,425 kB
Informatizacia,Informačný monitorovací systém pre programové obdobie na roky 2021-2027 (ITMS21+) - aktualizácia,analýza,https://www.mfsr.sk/files/archiv/31/Hodnotenie_UHP_ITMS21_akt.pdf,30.8.2023,401 kB
Informatizacia,Vybudovanie udržateľného HPC ekosystému na Slovensku,analýza,https://www.mfsr.sk/files/archiv/19/Superpocitac_MIRRI_SR_hodnotenie_UHP.pdf,25.5.2023,247 kB
Informatizacia,Národný plán širokopásmového pripojenia,analýza,https://www.mfsr.sk/files/archiv/37/Hodnotenie_UHP_UFB.pdf,21.4.2023,186 kB
Informatizacia,Obnova HW vybavenia obcí zapojených do IS DCOM (ako súčasť projektu DCOM+) – aktualizácia,analýza,https://www.mfsr.sk/files/archiv/14/Hodnotenie_UHP_DeusHWAktualizacia_20230301.pdf,1.3.2023,503 kB
Informatizacia,Cloud MIRRI SR,analýza,https://www.mfsr.sk/files/archiv/88/Cloud_MIRRI_SR_hodnotenie_UHP_20230221.pdf,21.2.2023,237 kB
Informatizacia,Optimalizácia procesov riadenia a prevádzky Zboru väzenskej a justičnej stráže (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/47/Hodnotenie_UHP_ZVJSaktualizacia_20230209.pdf,9.2.2023,402 kB
Informatizacia,Digitálna infraštruktúra škôl,analýza,https://www.mfsr.sk/files/archiv/91/Digitalna_infrastruktura_hodnotenie_UHP_20230118.pdf,18.1.2023,225 kB
Informatizacia,Digitálne vybavenie škôl,analýza,https://www.mfsr.sk/files/archiv/22/Hodnotenie_UHP_DigVybavenieSkol_20230118.pdf,18.1.2023,411 kB
Informatizacia,Sanácia prevádzkyschopnosti Národného personalizačného centra,analýza,https://www.mfsr.sk/files/archiv/33/Sanacia_NPC_hodnotenie_UHP_20221111.pdf,11.11.2022,228 kB
Informatizacia,Digitalizácia a modernizácia elektronických služieb štátnych archívov v európskom kontexte,analýza,https://www.mfsr.sk/files/archiv/92/Hodnotenie_UHP_digitalizaciaarchivov_20221110.pdf,10.11.2022,159 kB
Informatizacia,Informačný monitorovací systém pre programové obdobie na roky 2021-2027 (ITMS21+),analýza,https://www.mfsr.sk/files/archiv/59/Hodnotenie_UHP_ITMS21_20221026.pdf,26.10.2022,394 kB
Informatizacia,Dynamický nákupný systém cloudových služieb,analýza,https://www.mfsr.sk/files/archiv/96/DNS_Cloud_MIRRI_SR_hodnotenie_UHP_20221005.pdf,12.10.2022,231 kB
Informatizacia,Zvýšenie kapacity vládneho cloudu v Datacentre Kopčianska (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/2/Hodnotenie_aktualizacia_kopcianska_20221004.pdf,6.10.2022,311 kB
Informatizacia,Rezortný privátny cloud Ministerstva financií SR,analýza,https://www.mfsr.sk/files/archiv/61/Cloud_MF_SR_hodnotenie_UHP_20221003.pdf,5.10.2022,397 kB
Informatizacia,Vybudovanie informačného systému na poskytovanie Leteckých informačných služieb (IS LIS),analýza,https://www.mfsr.sk/files/archiv/24/Hodnotenie_UHP_ISLeteckychSluzieb_20220916.pdf,16.9.2022,526 kB
Informatizacia,Obnova HW vybavenia obcí zapojených do IS DCOM (ako súčasť projektu DCOM+),analýza,https://www.mfsr.sk/files/archiv/76/Hodnotenie_UHP_ObnovaHW_20220916.pdf,16.9.2022,199 kB
