Project_Name,First_File_Document_ID,First_File_URL,First_File_Type,Total_Documents_in_Project,Other_Documents_Count,Other_Document_Types,Other_Document_IDs,Sector
Komplexné riešenie výrobných liniek dokladov občanov a cudzincov,2.072,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/nova_lokalita_npc_hodnotenie_uhp.pdf,hodnotenie,1,0,None,None,Informatizacia
Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),3.028,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_fnsp-bb.pdf,hodnotenie,2,0,None,None,Budovy
Koncepcia rozvoja Univerzitnej nemocnice L. Pasteura Košice,3.017,https://www.mfsr.sk/files/archiv/51/UNLP-KE-hodnotenie_20230419_f.pdf,analýza,1,0,None,None,Budovy
Koncepčná štúdia severojužného cestného prepojenia v oblasti stredného Slovenska,1.094,https://www.mfsr.sk/files/archiv/52/Hodnotenie_severojuzne_R1R3.pdf,analýza,1,0,None,None,Doprava
"Koncepčný plán obnovy osobných automobilov do 3,5 t Ministerstva obrany Slovenskej republiky na roky 2024 - 2027",5.013,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/ostatne/koncepcny-plan-obnovy-osobnych-automobilov-mo-sr-final1.pdf,hodnotenie,1,0,None,None,Ostatne
Konsolidovaná analytická vrstva,2.031,https://www.mfsr.sk/files/archiv/25/KAV_UHP_hodnotenie_190611.pdf,analýza,1,0,None,None,Informatizacia
Koridor D1 Bidovce – štátna hranica SK/UA,1.105,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_d1-bidovce-statna-hranica-sk_ua.pdf,hodnotenie,1,0,None,None,Doprava
Kybernetická bezpečnosť v samospráve do 6 000 obyvateľov,2.097,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_kyberneticka-bezpecnost-samosprave-do-6-000-obyvatelov.pdf,hodnotenie,1,0,None,None,Informatizacia
Migrácia IS obcí do vládneho cloudu - Plošné rozšírenie IS DCOM - 2. etapa (DCOM+),2.004,https://www.mfsr.sk/files/archiv/uhp/3370/76/Stanovisko_DCOM_UHP_20171211.pdf,analýza,1,0,None,None,Informatizacia
Modernizácia Platformy pre rozvoj a riešenie prioritných životných situácií,2.099,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/slovensko-sk-3-0_hodnotenie_uhp_03072025.pdf,hodnotenie,1,0,None,None,Informatizacia
"Modernizácia cesty I/18 a I/74, Lipníky - Ubľa",1.007,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_I18_I74_vfm_final.pdf,stanovisko,1,0,None,None,Doprava
"Modernizácia cesty I/68 Mníšek nad Popradom – Prešov, úsek Sabinov – obchvat",1.05,https://www.mfsr.sk/files/archiv/95/doprava_vfm_hodnotenie_20220110.pdf,analýza,1,0,None,None,Doprava
"Modernizácia cesty I/68, Mníšek nad Popradom – Prešov",1.013,https://www.mfsr.sk/files/archiv/52/stanovisko_I68_vfm_20190606.pdf,analýza,1,0,None,None,Doprava
Modernizácia cesty I/75 Galanta – Nové Zámky,1.01,https://www.mfsr.sk/files/archiv/82/I-75Galanta-NoveZamky.pdf,analýza,1,0,None,None,Doprava
"Modernizácia cesty I/75 Galanta – Nové Zámky, úsek Šaľa - obchvat",1.054,https://www.mfsr.sk/files/archiv/28/hodnotenie_vfm_I75_Sala_20220412.pdf,analýza,1,0,None,None,Doprava
"Modernizácia cesty I/75 Galanta – Nové Zámky, úsek Šaľa – obchvat (aktualizácia č. 2)",1.061,https://www.mfsr.sk/files/archiv/24/Hodnotenie_vfm_SSC_I75_Sala_20220622.pdf,analýza,1,0,None,None,Doprava
"Modernizácia ciest I/66, I/67 a I/77 Rožňava - Bardejovské kúpele",1.027,https://www.mfsr.sk/files/archiv/76/stanovisko_vfm_I66-67-77_mfsr_web.pdf,analýza,5,4,analýza,"1.023, 1.024, 1.025, 1.026",Doprava
Modernizácia dávkových agend Sociálnej poisťovne,2.026,https://www.mfsr.sk/files/archiv/9/MODA_UHP_hodnotenie_20190423.pdf,analýza,1,0,None,None,Informatizacia
Modernizácia elektronickej komunikačnej siete ŽSR,1.012,https://www.mfsr.sk/files/archiv/67/Telematika_UHP_hodnotenie_20190514_stretnutie.pdf,analýza,1,0,None,None,Doprava
Modernizácia infraštruktúry pre kľúčové interné systémy MV SR – Etapa 2,2.077,https://www.mfsr.sk/files/archiv/19/Hodnotenie_UHP_DC_MV_20240823.pdf,hodnotenie,1,0,None,None,Informatizacia
Modernizácia ležadlových vozňov pre nočnú dopravu,1.114,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie-zssk-lezadlove-vozne_20250828.pdf,hodnotenie,1,0,None,None,Doprava
Modernizácia vozového parku ZSSK - časť 6 - aktualizácia hodnotenia,1.049,https://www.mfsr.sk/files/archiv/22/Hodnotenie_ZSSK_9-DMJ-aktualizacia_20211130.pdf,analýza,1,0,None,None,Doprava
Modernizácia vozového parku ZSSK časti 6 a 7,1.036,https://www.mfsr.sk/files/archiv/90/Hodnotenie_modernizaciavoz.parkuZSSKc.6a7_20201223.pdf,analýza,1,0,None,None,Doprava
Modernizácia vozového parku ŽKV v rámci OPII - 3. časť,1.028,https://www.mfsr.sk/files/archiv/80/Stanovisko_modernizacia_voz_parku_ZSSK_200902.pdf,analýza,3,2,"analýza, štúdia uskutočniteľnosti","1.029, 1.03",Doprava
Modernizácia železničnej trate Devínska Nová Ves - štátna hranica,1.068,https://www.mfsr.sk/files/archiv/82/Hodnotenie-UHP_DNV_Marchegg_20220916.pdf,analýza,1,0,None,None,Doprava
Modernizácia železničnej trate Hronský Beňadik – Nová Baňa,1.069,https://www.mfsr.sk/files/archiv/35/Hodnotenie_Hronsky-Benadik_Nova-Bana-20220922.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.123,Doprava
Modernizácia železničnej trate Hronský Beňadik – Nová Baňa (aktualizácia),1.082,https://www.mfsr.sk/files/archiv/18/Rekonstrukcia-Hronsky-Benadik-Nova-Bana_aktualizacia-pred-VO.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.139,Doprava
Modernizácia železničnej trate Krásno nad Kysucou – štátna hranica SR/ČR (aktualizácia),1.059,https://www.mfsr.sk/files/archiv/95/Hodnotenie-ZSR_KnK_Cadca_20220518.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.137,Doprava
Modernizácia železničnej trate Poprad – Markušovce,1.066,https://www.mfsr.sk/files/archiv/88/Hodnotenie_Poprad_Markusovce_20220719.pdf,analýza,1,0,None,None,Doprava
Modernizácia železničnej trate Poprad – Vydrník (aktualizácia),1.086,https://www.mfsr.sk/files/archiv/40/Hodnotenie_UHP_Poprad-Tatry-Vydrnik.pdf,analýza,1,0,None,None,Doprava
Modernizácia železničného koridoru Žilina – Košice – Čierna nad Tisou,1.063,https://www.mfsr.sk/files/archiv/33/ZilinaKosiceCnT_20220706.pdf,analýza,2,1,Otázky a odpovede,1.117,Doprava
Nová univerzitná nemocnica v Bratislave,3.002,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_UNB_170403_2.pdf,analýza,2,1,Grafy a tabuľky,3.001,Budovy
Nákup 18 ks lôžkových vozňov,1.085,https://www.mfsr.sk/files/archiv/44/Hodnotenie-ZSSK-lozkove-vozne_UHP.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.133,Doprava
Nákup 25 rušňov a 10 ucelených súprav do diaľkovej dopravy,1.1,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-vozidla-dialkovu-dopravu.pdf,hodnotenie,3,2,"analýza, štúdia uskutočniteľnosti","1.121, 1.124",Doprava
Nákup 26 ks dieselových motorových jednotiek pre osobnú dopravu,1.075,https://www.mfsr.sk/files/archiv/16/Hodnotenie-ZSSK-26-DMJ_20230224.pdf,analýza,1,0,None,None,Doprava
Nákup 4 elektrických jednotiek pre linku Bratislava – Žilina,1.108,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-4-ej-560.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.122,Doprava
Nákup 5 ks ekologických koľajových vozidiel pre osobnú dopravu,1.073,https://www.mfsr.sk/files/archiv/75/Hodnotenie-ZSSK-5-EJ_20221207.pdf,analýza,1,0,None,None,Doprava
Nákup 6 ks ekologických koľajových vozidiel pre osobnú dopravu,1.095,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-6-ej_20240229.pdf,analýza,1,0,None,None,Doprava
Nákup bojových obrnených vozidiel 8x8 a 4x4,4.001,https://www.mfsr.sk/files/archiv/uhp/3370/76/Hodnotenie_bov-4x4-8x8_uhp.pdf,analýza,1,0,None,None,Obrana
Nákup diagnostických vozidiel ŽSR,1.136,https://www.mfsr.sk/files/archiv/uhp/3370/76/Nakup-diagnostickych-vozidiel-ZSR.pdf,stanovisko,1,0,None,None,Doprava
Nákup elektrických jednotiek do diaľkovej dopravy (aktualizácia),1.11,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia_hodnotenia_zssk_dialkove_supravy.pdf,hodnotenie,2,1,Aktualizovaná štúdia od investora,1.148,Doprava
Nákup elektrických jednotiek pre linku Bratislava - Žilina (aktualizácia),1.113,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/aktualizacia-hodnotenia-zssk-4-ej-560_20250605.pdf,hodnotenie,2,1,Aktualizovaná štúdia,1.118,Doprava
Nákup hasičských automobilov s plošinami,5.011,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/ostatne/nakup-hasicskych-automobilov-plosinami_hodnotenie-uhp.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,5.02,Ostatne
"Nákup licencií pre operačný systém, kancelársky balík a prístup používateľov na server",2.045,https://www.mfsr.sk/files/archiv/36/microsoft_hodnotenie_UHP_20210511.pdf,analýza,1,0,None,None,Informatizacia
