Project Name,Type,URL,Date,File Size
Doprava,analýza,https://www.mfsr.sk/files/archiv/24/Hodnotenie_vfm_SSC_I75_Sala_20220622.pdf,22.6.2022,359 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/95/Hodnotenie-ZSR_KnK_Cadca_20220518.pdf,18.5.2022,512 kB
Doprava,,http://www.zsr.sk/files/modernizacia-trati/studie-realizovatelnosti/studia-realizovatelnosti-zsr-modernizacia-koridoru-statna-hranica-sr-cadca-krasno-nad-kysucou-mimo-update/modernizacia-zeleznicnej-trate-krasno-nad-kysucou-statna-hranica-sr_cr_aktualizacia-variant-c.pdf,,"2,08 MB"
Doprava,analýza,https://www.mfsr.sk/files/archiv/20/Hodnotenie-ZSR-GSM-R-Varin-KE-CnT_20220518.pdf,18.5.2022,255 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/84/hodnotenie_vfm_I64_Lietavska-Lucka_20220518.pdf,18.5.2022,503 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/78/Hodnotenie-ZSR-Zvysenie-priepustnosti-BA-DS-KN_20220429.pdf,30.04.2022,718 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/20/UHP-hodnotenie-Nitra-Trnovec_20220421.pdf,21.04.2022,844 kB
Doprava,,https://www.mfsr.sk/files/archiv/53/FAQs_UHP_Trat-Trnovec.pdf,,275 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/28/hodnotenie_vfm_I75_Sala_20220412.pdf,12.04.2022,547 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/48/hodnotenie_vfm_I15_Strocin_Vranov_20220218.pdf,18.2.2022,617 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/10/hodnotenie_SSC_I51_CZ_TT_20220217.pdf,18.2.2022,413 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/25/KnK_Cadca_hranicaSR_akt_20220111_st.pdf,12.1.2022,193 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/95/doprava_vfm_hodnotenie_20220110.pdf,12.1.2022,333 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/22/Hodnotenie_ZSSK_9-DMJ-aktualizacia_20211130.pdf,30.11.2021,625 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/54/hodnotenie_vfm_I51_I76_20211118_clean.pdf,18.11.2021,447 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/56/doprava_vfm_hodnotenie_20211117.pdf,17.11.2021,464 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/36/hodnotenie_vfm_D1_aktualizacia_visnove_20211129.pdf,30.10.2021,338 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/85/kosice_obchvat_vfm_20210914_final.pdf,15.9.2021,526 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/61/stanovisko_vfm_R4_PO_II_20210827.pdf,27.8.2021,532 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/78/KnK_Cadca_hranicaSR_uhp_20210707.pdf,7.7.2021,476 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/44/stanovisko_vfm_R8_20210513.pdf,15.5.2021,506  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/38/stanovisko_vfm_rozsirenie_D1_kriz_D4_20210507.pdf,7.5.2021,711 kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/29/r3_tvrdosin_nizna_vfm_poVO_20210324.pdf,31.3.2021,115  kB
Doprava,,https://www.mfsr.sk/files/archiv/30/R3_tvrdosin_nizna_aktualizacia_SU_po_VO.pdf,31.3.2021,569  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/68/Hodnotenie_ZSR_ELBAHU_20210311.pdf,11.3.2021,416  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/90/Hodnotenie_modernizaciavoz.parkuZSSKc.6a7_20201223.pdf,23.12.2020,394  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/27/stanovisko_ELZVFIL_20201127.pdf,27.11.2020,554  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/34/stanovisko_vfm_I64_20201118.pdf,21.11.2020,852  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/68/Hodnotenie_PD_JE_201111.pdf,13.11.2020,160  kB
Doprava,analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenie-investicnych-projektov/stanovisko_k_projektu_muran_zosuv_2020102.pdf,02.10.2020,160  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/43/Myto_UHP_hodnotenie_200909_web.pdf,09.09.2020,470  kB
Doprava,analýza,https://www.mfsr.sk/files/archiv/80/Stanovisko_modernizacia_voz_parku_ZSSK_200902.pdf,04.09.2020,257  kB
Doprava,,https://www.zssk.sk/wp-content/uploads/2020/07/%C5%A0U_projekt-Moderniz%C3%A1cia-vozov%C3%A9ho-parku-%C5%BDKV-v-r%C3%A1mci-OPII-3.-%C4%8Das%C5%A5.pdf,07.09.2020,210  kB
